   -4.250800133    10.001999855   -15.784000397    41.291000366    70.986999512    33.874000549
   -4.258341580    10.019743253   -15.812001688    41.149603385    70.878647416    33.724350136
   -4.258366634    10.019802203   -15.812094715    41.483174816    71.212328631    34.057894147
   -4.258391687    10.019861152   -15.812187743    41.082695692    70.811959290    33.657387603
   -4.258416740    10.019920102   -15.812280770    41.747313792    71.476687174    34.321978283
   -4.258441793    10.019979052   -15.812373798    41.245377986    70.974861152    33.820015057
   -4.258466847    10.020038001   -15.812466825    41.071477770    70.801070719    33.646087420
   -4.258491900    10.020096951   -15.812559853    41.142003986    70.871706719    33.716586217
   -4.258516953    10.020155901   -15.812652881    41.338474894    71.068287411    33.913029705
   -4.258542007    10.020214850   -15.812745908    41.242509963    70.972432263    33.817037354
   -4.258567060    10.020273800   -15.812838936    41.039005446    70.769037531    33.613505417
   -4.258592113    10.020332749   -15.812931963    41.510783785    71.240925652    34.085256335
   -4.258617167    10.020391699   -15.813024991    41.495953951    71.226205603    34.070399082
   -4.258642220    10.020450649   -15.813118018    41.404795247    71.135156682    33.979212958
   -4.258667273    10.020509598   -15.813211046    41.439912869    71.170384088    34.014303160
   -4.258692327    10.020568548   -15.813304073    41.298408023    71.028989025    33.872770893
   -4.258717380    10.020627498   -15.813397101    41.605404698    71.336095485    34.179740149
   -4.258742433    10.020686447   -15.813490128    41.416771953    71.147572523    33.991079983
   -4.258767487    10.020745397   -15.813583156    41.429079749    71.159990102    34.003360359
   -4.258792540    10.020804347   -15.813676184    41.209204964    70.940225101    33.783458154
   -4.258817593    10.020863296   -15.813769211    41.403474911    71.134604832    33.977700681
   -4.258842647    10.020922246   -15.813862239    41.772187421    71.503427125    34.346385771
   -4.258867700    10.020981196   -15.813955266    41.464901841    71.196251329    34.039072771
   -4.258892753    10.021040145   -15.814048294    41.239806987    70.971266259    33.813950497
   -4.258917806    10.021099095   -15.814141321    41.765114705    71.496683760    34.339230795
   -4.258942860    10.021158045   -15.814234349    41.178769831    70.910448671    33.752858501
   -4.258967913    10.021216994   -15.814327376    41.581291187    71.313079810    34.155352437
   -4.258992966    10.021275944   -15.814420404    41.487299782    71.219198189    34.061333612
   -4.259018020    10.021334894   -15.814513431    41.539662612    71.271670802    34.113669022
   -4.259043073    10.021393843   -15.814606459    41.245128633    70.977246607    33.819107623
   -4.259068126    10.021452793   -15.814699487    41.195939673    70.928167430    33.769891243
   -4.259093180    10.021511743   -15.814792514    41.423137574    71.155475115    33.997061724
   -4.259118233    10.021570692   -15.814885542    41.597317429    71.329764754    34.171214158
   -4.259143286    10.021629642   -15.814978569    41.409876243    71.142433351    33.983745552
   -4.259168340    10.021688592   -15.815071597    41.394614247    71.127281139    33.968456137
   -4.259193393    10.021747541   -15.815164624    41.394871247    71.127647923    33.968685717
   -4.259218446    10.021806491   -15.815257652    41.086195285    70.819081745    33.659982335
   -4.259243500    10.021865441   -15.815350679    41.386425495    71.119421738    33.960185124
   -4.259268553    10.021924390   -15.815443707    41.467198296    71.200304323    34.040930506
   -4.259293606    10.021983340   -15.815536734    41.378854883    71.112070694    33.952559673
   -4.259318660    10.022042290   -15.815629762    41.569464853    71.302790448    34.143142223
   -4.259343713    10.022101239   -15.815722790    41.445517241    71.178952619    34.019167190
   -4.259368766    10.022160189   -15.815815817    41.325931179    71.059476340    33.899553708
   -4.259393819    10.022219139   -15.815908845    41.295361131    71.029016077    33.868956241
   -4.259418873    10.022278088   -15.816001872    41.406178824    71.139943553    33.979746513
   -4.259443926    10.022337038   -15.816094900    40.976535140    70.710409653    33.550075410
   -4.259468979    10.022395988   -15.816187927    41.452855164    71.186839461    34.026368014
   -4.259494033    10.022454937   -15.816280955    41.062083041    70.796177121    33.635568470
   -4.259519086    10.022513887   -15.816373982    41.246625734    70.980829598    33.820083744
   -4.259544139    10.022572836   -15.816467010    41.141958004    70.876271651    33.715388594
   -4.259569193    10.022631786   -15.816560038    41.460889349    71.195312780    34.034292518
   -4.259594246    10.022690736   -15.816653065    41.407265653    71.141798868    33.980641403
   -4.259619299    10.022749685   -15.816746092    41.489927023    71.224570022    34.063275352
   -4.259644353    10.022808635   -15.816839120    41.683899633    71.418652415    34.257220542
   -4.259669406    10.022867585   -15.816932148    40.893662705    70.628525271    33.466956194
   -4.259694459    10.022926535   -15.817025175    41.694679496    71.429651846    34.267945565
   -4.259719513    10.022985484   -15.817118203    41.237490266    70.972572399    33.810728915
   -4.259744566    10.023044434   -15.817211230    41.487486087    71.222678003    34.060697316
   -4.259769619    10.023103383   -15.817304258    41.369480456    71.104782157    33.942664265
   -4.259794673    10.023162333   -15.817397285    41.658270878    71.393682362    34.231427266
   -4.259819726    10.023221283   -15.817490313    41.439526083    71.175047351    34.012655052
   -4.259844779    10.023280232   -15.817583340    42.085677797    71.821308849    34.658779346
   -4.259869832    10.023339182   -15.817676368    42.043581851    71.779322686    34.616655980
   -4.259894886    10.023398132   -15.817769395    41.497350514    71.233201133    34.070397223
   -4.259919939    10.023457082   -15.817862423    41.109427323    70.845387726    33.682446612
   -4.259944992    10.023516031   -15.817955451    41.477136500    71.213206687    34.050128369
   -4.259970046    10.023574981   -15.818048478    41.323412901    71.059592871    33.896377350
   -4.259995099    10.023633930   -15.818141506    41.016093974    70.752383727    33.589031002
   -4.260020152    10.023692880   -15.818234533    41.139252055    70.875651592    33.712161663
   -4.260045206    10.023751830   -15.818327561    41.051112467    70.787621788    33.623994656
   -4.260070259    10.023810779   -15.818420588    41.356340311    71.092959416    33.929195079
